food,amount,user_id,date_of_eat
salad,328,200000001,01/01/2024
banana,320,200000003,01/01/2024
chicken,141,200000002,01/01/2024
fish,101,200000001,02/01/2024
rice,241,200000003,02/01/2024
banana,180,200000002,02/01/2024
apple,336,200000003,03/01/2024
steak,119,200000001,03/01/2024
soup,262,200000002,03/01/2024
pasta,274,200000002,04/01/2024
salad,172,200000002,04/01/2024
steak,137,200000001,04/01/2024
chicken,379,200000001,05/01/2024
steak,317,200000001,05/01/2024
rice,256,200000002,05/01/2024
pasta,225,200000002,06/01/2024
fish,198,200000001,06/01/2024
yogurt,129,200000002,06/01/2024
pasta,383,200000002,07/01/2024
fish,171,200000002,07/01/2024
apple,173,200000003,07/01/2024
fish,233,200000003,08/01/2024
apple,316,200000002,08/01/2024
apple,268,200000003,08/01/2024
chicken,288,200000002,09/01/2024
salad,110,200000001,09/01/2024
pasta,361,200000002,09/01/2024
soup,109,200000001,10/01/2024
rice,250,200000003,10/01/2024
apple,152,200000003,10/01/2024
soup,375,200000003,11/01/2024
pasta,281,200000003,11/01/2024
steak,162,200000001,11/01/2024
chicken,267,200000003,12/01/2024
steak,312,200000001,12/01/2024
steak,188,200000003,12/01/2024
salad,318,200000001,13/01/2024
fish,351,200000002,13/01/2024
salad,115,200000001,13/01/2024
steak,130,200000001,14/01/2024
steak,102,200000002,14/01/2024
apple,370,200000003,14/01/2024
pasta,295,200000001,15/01/2024
banana,318,200000001,15/01/2024
chicken,390,200000003,15/01/2024
rice,152,200000002,16/01/2024
pasta,328,200000002,16/01/2024
steak,391,200000003,16/01/2024
yogurt,221,200000003,17/01/2024
banana,237,200000001,17/01/2024
yogurt,109,200000003,17/01/2024
fish,325,200000003,18/01/2024
apple,237,200000001,18/01/2024
pasta,373,200000002,18/01/2024
steak,194,200000002,19/01/2024
steak,108,200000002,19/01/2024
yogurt,305,200000001,19/01/2024
banana,309,200000001,20/01/2024
banana,296,200000001,20/01/2024
pasta,174,200000002,20/01/2024
steak,219,200000001,21/01/2024
apple,324,200000001,21/01/2024
fish,234,200000003,21/01/2024
chicken,339,200000001,22/01/2024
chicken,338,200000003,22/01/2024
salad,304,200000002,22/01/2024
chicken,161,200000001,23/01/2024
steak,103,200000001,23/01/2024
yogurt,325,200000003,23/01/2024
yogurt,240,200000002,24/01/2024
steak,228,200000001,24/01/2024
rice,385,200000002,24/01/2024
pasta,287,200000002,25/01/2024
rice,267,200000001,25/01/2024
banana,165,200000003,25/01/2024
fish,378,200000002,26/01/2024
soup,136,200000003,26/01/2024
pasta,376,200000002,26/01/2024
yogurt,301,200000002,27/01/2024
chicken,296,200000002,27/01/2024
steak,310,200000001,27/01/2024
pasta,107,200000003,28/01/2024
rice,333,200000002,28/01/2024
salad,210,200000001,28/01/2024
salad,315,200000003,29/01/2024
chicken,354,200000003,29/01/2024
soup,375,200000001,29/01/2024
steak,236,200000001,30/01/2024
fish,361,200000003,30/01/2024
chicken,159,200000003,30/01/2024
banana,323,200000001,31/01/2024
yogurt,270,200000001,31/01/2024
banana,144,200000001,31/01/2024
yogurt,113,200000001,01/02/2024
soup,260,200000001,01/02/2024
fish,198,200000003,01/02/2024
yogurt,327,200000003,02/02/2024
yogurt,152,200000001,02/02/2024
pasta,251,200000002,02/02/2024
fish,192,200000001,03/02/2024
rice,255,200000002,03/02/2024
yogurt,379,200000002,03/02/2024
chicken,269,200000001,04/02/2024
fish,269,200000002,04/02/2024
pasta,195,200000001,04/02/2024
pasta,269,200000003,05/02/2024
yogurt,191,200000001,05/02/2024
yogurt,132,200000002,05/02/2024
soup,155,200000002,06/02/2024
rice,140,200000001,06/02/2024
salad,195,200000002,06/02/2024
fish,128,200000003,07/02/2024
chicken,293,200000001,07/02/2024
pasta,300,200000003,07/02/2024
chicken,252,200000002,08/02/2024
steak,220,200000002,08/02/2024
steak,143,200000003,08/02/2024
pasta,239,200000003,09/02/2024
chicken,361,200000001,09/02/2024
steak,378,200000002,09/02/2024
apple,169,200000001,10/02/2024
pasta,331,200000002,10/02/2024
salad,375,200000003,10/02/2024
steak,288,200000001,11/02/2024
rice,395,200000002,11/02/2024
apple,121,200000001,11/02/2024
soup,398,200000001,12/02/2024
fish,242,200000003,12/02/2024
chicken,332,200000001,12/02/2024
yogurt,356,200000001,13/02/2024
yogurt,245,200000003,13/02/2024
fish,314,200000002,13/02/2024
yogurt,255,200000001,14/02/2024
banana,169,200000002,14/02/2024
chicken,163,200000001,14/02/2024
pasta,223,200000003,15/02/2024
yogurt,392,200000003,15/02/2024
rice,373,200000001,15/02/2024
salad,155,200000001,16/02/2024
yogurt,346,200000003,16/02/2024
soup,126,200000001,16/02/2024
salad,250,200000002,17/02/2024
yogurt,194,200000003,17/02/2024
yogurt,130,200000001,17/02/2024
fish,170,200000003,18/02/2024
apple,117,200000002,18/02/2024
steak,366,200000001,18/02/2024
soup,137,200000002,19/02/2024
steak,291,200000003,19/02/2024
yogurt,315,200000001,19/02/2024
salad,205,200000002,20/02/2024
soup,262,200000001,20/02/2024
pasta,260,200000003,20/02/2024
fish,225,200000003,21/02/2024
salad,205,200000001,21/02/2024
yogurt,301,200000003,21/02/2024
chicken,267,200000002,22/02/2024
yogurt,336,200000001,22/02/2024
chicken,198,200000003,22/02/2024
chicken,358,200000002,23/02/2024
steak,256,200000002,23/02/2024
pasta,217,200000003,23/02/2024
yogurt,223,200000001,24/02/2024
rice,269,200000002,24/02/2024
chicken,240,200000001,24/02/2024
banana,144,200000002,25/02/2024
banana,138,200000003,25/02/2024
chicken,194,200000002,25/02/2024
pasta,270,200000002,26/02/2024
pasta,392,200000002,26/02/2024
rice,373,200000002,26/02/2024
banana,251,200000002,27/02/2024
pasta,394,200000002,27/02/2024
banana,355,200000003,27/02/2024
soup,261,200000003,28/02/2024
yogurt,130,200000003,28/02/2024
apple,127,200000002,28/02/2024
chicken,384,200000002,29/02/2024
rice,356,200000002,29/02/2024
pasta,121,200000003,29/02/2024
banana,358,200000003,01/03/2024
fish,115,200000001,01/03/2024
apple,300,200000002,01/03/2024
chicken,230,200000002,02/03/2024
fish,347,200000001,02/03/2024
soup,164,200000002,02/03/2024
pasta,173,200000001,03/03/2024
chicken,256,200000002,03/03/2024
banana,279,200000002,03/03/2024
yogurt,265,200000003,04/03/2024
chicken,115,200000002,04/03/2024
rice,112,200000002,04/03/2024
banana,353,200000003,05/03/2024
steak,374,200000001,05/03/2024
rice,288,200000002,05/03/2024
yogurt,275,200000001,06/03/2024
chicken,175,200000001,06/03/2024
apple,276,200000001,06/03/2024
apple,190,200000001,07/03/2024
yogurt,363,200000003,07/03/2024
chicken,350,200000003,07/03/2024
banana,386,200000003,08/03/2024
rice,153,200000002,08/03/2024
yogurt,140,200000001,08/03/2024
fish,377,200000003,09/03/2024
salad,236,200000003,09/03/2024
steak,368,200000001,09/03/2024
soup,344,200000001,10/03/2024
banana,384,200000001,10/03/2024
chicken,122,200000001,10/03/2024
salad,238,200000002,11/03/2024
pasta,149,200000003,11/03/2024
banana,324,200000001,11/03/2024
rice,285,200000003,12/03/2024
steak,259,200000002,12/03/2024
fish,327,200000002,12/03/2024
banana,349,200000001,13/03/2024
yogurt,291,200000001,13/03/2024
pasta,285,200000001,13/03/2024
banana,254,200000002,14/03/2024
banana,179,200000002,14/03/2024
salad,195,200000001,14/03/2024
chicken,260,200000003,15/03/2024
yogurt,378,200000003,15/03/2024
banana,388,200000001,15/03/2024
banana,270,200000003,16/03/2024
yogurt,390,200000002,16/03/2024
rice,214,200000003,16/03/2024
steak,133,200000001,17/03/2024
fish,164,200000001,17/03/2024
pasta,305,200000003,17/03/2024
steak,164,200000001,18/03/2024
apple,362,200000003,18/03/2024
fish,206,200000002,18/03/2024
rice,321,200000001,19/03/2024
banana,128,200000003,19/03/2024
rice,281,200000001,19/03/2024
yogurt,161,200000003,20/03/2024
salad,197,200000002,20/03/2024
pasta,199,200000001,20/03/2024
banana,218,200000002,21/03/2024
banana,188,200000003,21/03/2024
rice,193,200000001,21/03/2024
yogurt,348,200000001,22/03/2024
steak,256,200000003,22/03/2024
pasta,289,200000001,22/03/2024
fish,173,200000003,23/03/2024
apple,362,200000003,23/03/2024
rice,103,200000001,23/03/2024
apple,113,200000001,24/03/2024
chicken,205,200000003,24/03/2024
chicken,274,200000001,24/03/2024
salad,391,200000003,25/03/2024
yogurt,291,200000002,25/03/2024
apple,288,200000003,25/03/2024
pasta,306,200000002,26/03/2024
fish,252,200000002,26/03/2024
apple,174,200000003,26/03/2024
yogurt,285,200000002,27/03/2024
apple,223,200000002,27/03/2024
banana,263,200000001,27/03/2024
yogurt,250,200000003,28/03/2024
yogurt,332,200000001,28/03/2024
rice,278,200000002,28/03/2024
rice,225,200000002,29/03/2024
fish,220,200000001,29/03/2024
pasta,245,200000001,29/03/2024
apple,294,200000002,30/03/2024
apple,108,200000003,30/03/2024
banana,337,200000002,30/03/2024
soup,165,200000003,31/03/2024
yogurt,158,200000002,31/03/2024
soup,274,200000003,31/03/2024
rice,151,200000002,01/04/2024
soup,360,200000001,01/04/2024
steak,348,200000003,01/04/2024
salad,391,200000001,02/04/2024
rice,299,200000001,02/04/2024
pasta,266,200000001,02/04/2024
steak,233,200000001,03/04/2024
apple,181,200000002,03/04/2024
chicken,217,200000001,03/04/2024
salad,323,200000001,04/04/2024
pasta,134,200000001,04/04/2024
chicken,102,200000001,04/04/2024
banana,373,200000003,05/04/2024
rice,330,200000003,05/04/2024
rice,298,200000001,05/04/2024
salad,362,200000001,06/04/2024
yogurt,188,200000003,06/04/2024
apple,358,200000001,06/04/2024
steak,233,200000003,07/04/2024
salad,160,200000002,07/04/2024
banana,156,200000002,07/04/2024
fish,348,200000001,08/04/2024
rice,355,200000002,08/04/2024
steak,271,200000001,08/04/2024
steak,380,200000001,09/04/2024
salad,109,200000001,09/04/2024
salad,349,200000001,09/04/2024
steak,184,200000001,10/04/2024
rice,285,200000003,10/04/2024
salad,155,200000001,10/04/2024
fish,246,200000001,11/04/2024
yogurt,215,200000003,11/04/2024
salad,338,200000001,11/04/2024
pasta,180,200000002,12/04/2024
yogurt,199,200000001,12/04/2024
yogurt,299,200000002,12/04/2024
banana,310,200000003,13/04/2024
soup,363,200000001,13/04/2024
chicken,289,200000002,13/04/2024
steak,164,200000002,14/04/2024
salad,181,200000002,14/04/2024
steak,261,200000002,14/04/2024
yogurt,152,200000001,15/04/2024
pasta,333,200000001,15/04/2024
apple,399,200000001,15/04/2024
rice,139,200000002,16/04/2024
rice,143,200000001,16/04/2024
rice,182,200000003,16/04/2024
banana,215,200000002,17/04/2024
yogurt,354,200000002,17/04/2024
soup,319,200000003,17/04/2024
soup,127,200000003,18/04/2024
steak,376,200000002,18/04/2024
apple,341,200000002,18/04/2024
yogurt,389,200000002,19/04/2024
chicken,283,200000001,19/04/2024
rice,215,200000003,19/04/2024
yogurt,166,200000001,20/04/2024
fish,140,200000003,20/04/2024
apple,367,200000001,20/04/2024
apple,302,200000001,21/04/2024
soup,166,200000001,21/04/2024
salad,386,200000002,21/04/2024
yogurt,188,200000001,22/04/2024
pasta,286,200000002,22/04/2024
chicken,238,200000002,22/04/2024
pasta,267,200000003,23/04/2024
salad,337,200000003,23/04/2024
rice,158,200000003,23/04/2024
soup,333,200000002,24/04/2024
pasta,172,200000002,24/04/2024
chicken,312,200000003,24/04/2024
pasta,192,200000002,25/04/2024
steak,296,200000001,25/04/2024
yogurt,309,200000002,25/04/2024
fish,103,200000002,26/04/2024
rice,359,200000003,26/04/2024
steak,363,200000002,26/04/2024
steak,144,200000003,27/04/2024
pasta,365,200000002,27/04/2024
salad,350,200000001,27/04/2024
soup,164,200000001,28/04/2024
chicken,323,200000002,28/04/2024
apple,252,200000003,28/04/2024
banana,306,200000002,29/04/2024
fish,296,200000002,29/04/2024
chicken,112,200000001,29/04/2024
steak,219,200000003,30/04/2024
banana,390,200000002,30/04/2024
soup,198,200000003,30/04/2024
salad,175,200000001,01/05/2024
soup,342,200000003,01/05/2024
salad,149,200000003,01/05/2024
banana,384,200000003,02/05/2024
steak,379,200000001,02/05/2024
rice,220,200000002,02/05/2024
salad,216,200000003,03/05/2024
salad,204,200000003,03/05/2024
chicken,124,200000002,03/05/2024
banana,337,200000002,04/05/2024
rice,108,200000003,04/05/2024
chicken,264,200000002,04/05/2024
soup,123,200000002,05/05/2024
fish,120,200000002,05/05/2024
salad,310,200000001,05/05/2024
steak,244,200000001,06/05/2024
pasta,130,200000001,06/05/2024
fish,390,200000001,06/05/2024
apple,284,200000002,07/05/2024
fish,217,200000001,07/05/2024
rice,229,200000002,07/05/2024
apple,346,200000003,08/05/2024
rice,191,200000003,08/05/2024
pasta,175,200000001,08/05/2024
yogurt,253,200000002,09/05/2024
steak,140,200000002,09/05/2024
apple,263,200000003,09/05/2024
rice,296,200000001,10/05/2024
steak,293,200000002,10/05/2024
pasta,262,200000001,10/05/2024
yogurt,244,200000001,11/05/2024
chicken,372,200000001,11/05/2024
rice,274,200000002,11/05/2024
rice,200,200000002,12/05/2024
salad,253,200000002,12/05/2024
pasta,274,200000003,12/05/2024
yogurt,200,200000002,13/05/2024
chicken,398,200000002,13/05/2024
rice,124,200000002,13/05/2024
pasta,118,200000001,14/05/2024
soup,178,200000001,14/05/2024
pasta,335,200000003,14/05/2024
pasta,121,200000001,15/05/2024
chicken,231,200000001,15/05/2024
chicken,100,200000002,15/05/2024
rice,146,200000001,16/05/2024
pasta,280,200000002,16/05/2024
yogurt,313,200000001,16/05/2024
yogurt,294,200000003,17/05/2024
banana,279,200000001,17/05/2024
pasta,115,200000001,17/05/2024
apple,118,200000002,18/05/2024
banana,343,200000002,18/05/2024
yogurt,216,200000001,18/05/2024
rice,146,200000002,19/05/2024
rice,226,200000003,19/05/2024
steak,388,200000003,19/05/2024
fish,185,200000002,20/05/2024
chicken,271,200000003,20/05/2024
steak,346,200000001,20/05/2024
apple,369,200000003,21/05/2024
banana,229,200000003,21/05/2024
banana,329,200000001,21/05/2024
soup,397,200000003,22/05/2024
pasta,257,200000002,22/05/2024
apple,332,200000002,22/05/2024
fish,231,200000003,23/05/2024
chicken,131,200000002,23/05/2024
pasta,115,200000001,23/05/2024
yogurt,390,200000002,24/05/2024
soup,208,200000003,24/05/2024
apple,330,200000002,24/05/2024
yogurt,118,200000002,25/05/2024
salad,133,200000001,25/05/2024
steak,204,200000001,25/05/2024
soup,146,200000002,26/05/2024
soup,182,200000003,26/05/2024
pasta,341,200000001,26/05/2024
yogurt,291,200000001,27/05/2024
soup,284,200000001,27/05/2024
fish,172,200000002,27/05/2024
soup,306,200000002,28/05/2024
rice,357,200000002,28/05/2024
fish,313,200000002,28/05/2024
chicken,248,200000002,29/05/2024
pasta,196,200000003,29/05/2024
pasta,316,200000003,29/05/2024
steak,140,200000001,30/05/2024
banana,120,200000003,30/05/2024
pasta,316,200000003,30/05/2024
fish,305,200000002,31/05/2024
soup,310,200000002,31/05/2024
fish,141,200000001,31/05/2024
salad,185,200000003,01/06/2024
steak,360,200000003,01/06/2024
apple,364,200000002,01/06/2024
yogurt,120,200000001,02/06/2024
rice,354,200000001,02/06/2024
banana,208,200000002,02/06/2024
yogurt,350,200000003,03/06/2024
apple,246,200000003,03/06/2024
chicken,210,200000001,03/06/2024
steak,201,200000001,04/06/2024
pasta,290,200000001,04/06/2024
salad,292,200000003,04/06/2024
yogurt,235,200000003,05/06/2024
salad,155,200000001,05/06/2024
yogurt,206,200000001,05/06/2024
fish,255,200000001,06/06/2024
banana,193,200000002,06/06/2024
salad,212,200000003,06/06/2024
chicken,330,200000001,07/06/2024
soup,214,200000001,07/06/2024
salad,225,200000002,07/06/2024
pasta,189,200000002,08/06/2024
soup,312,200000002,08/06/2024
apple,183,200000003,08/06/2024
steak,121,200000001,09/06/2024
salad,295,200000003,09/06/2024
chicken,209,200000001,09/06/2024
apple,267,200000001,10/06/2024
chicken,270,200000003,10/06/2024
banana,194,200000001,10/06/2024
pasta,132,200000002,11/06/2024
steak,126,200000003,11/06/2024
soup,163,200000003,11/06/2024
fish,241,200000001,12/06/2024
yogurt,260,200000001,12/06/2024
apple,334,200000001,12/06/2024
yogurt,303,200000001,13/06/2024
rice,348,200000002,13/06/2024
salad,262,200000001,13/06/2024
banana,101,200000003,14/06/2024
rice,144,200000003,14/06/2024
rice,370,200000003,14/06/2024
chicken,195,200000002,15/06/2024
soup,157,200000001,15/06/2024
rice,159,200000001,15/06/2024
salad,224,200000002,16/06/2024
soup,117,200000001,16/06/2024
rice,137,200000002,16/06/2024
chicken,381,200000002,17/06/2024
pasta,330,200000002,17/06/2024
steak,293,200000002,17/06/2024
fish,134,200000002,18/06/2024
fish,390,200000003,18/06/2024
salad,167,200000002,18/06/2024
apple,320,200000001,19/06/2024
salad,327,200000002,19/06/2024
rice,105,200000002,19/06/2024
steak,261,200000002,20/06/2024
steak,246,200000001,20/06/2024
soup,250,200000003,20/06/2024
soup,204,200000002,21/06/2024
soup,116,200000001,21/06/2024
fish,154,200000002,21/06/2024
fish,270,200000001,22/06/2024
fish,330,200000002,22/06/2024
yogurt,329,200000003,22/06/2024
pasta,297,200000002,23/06/2024
salad,331,200000003,23/06/2024
pasta,357,200000003,23/06/2024
soup,338,200000001,24/06/2024
yogurt,120,200000003,24/06/2024
yogurt,198,200000002,24/06/2024
chicken,263,200000001,25/06/2024
banana,218,200000001,25/06/2024
salad,217,200000001,25/06/2024
chicken,224,200000001,26/06/2024
steak,365,200000003,26/06/2024
steak,134,200000001,26/06/2024
soup,240,200000003,27/06/2024
yogurt,343,200000003,27/06/2024
banana,262,200000001,27/06/2024
banana,124,200000002,28/06/2024
steak,184,200000001,28/06/2024
pasta,382,200000002,28/06/2024
pasta,141,200000001,29/06/2024
yogurt,335,200000003,29/06/2024
banana,162,200000002,29/06/2024
fish,294,200000002,30/06/2024
yogurt,381,200000003,30/06/2024
yogurt,102,200000001,30/06/2024
apple,293,200000003,01/07/2024
chicken,190,200000001,01/07/2024
apple,276,200000002,01/07/2024
soup,122,200000002,02/07/2024
salad,186,200000002,02/07/2024
pasta,199,200000003,02/07/2024
rice,137,200000002,03/07/2024
yogurt,337,200000003,03/07/2024
salad,153,200000001,03/07/2024
banana,334,200000002,04/07/2024
apple,124,200000001,04/07/2024
fish,317,200000003,04/07/2024
apple,186,200000002,05/07/2024
steak,178,200000003,05/07/2024
banana,349,200000003,05/07/2024
soup,304,200000003,06/07/2024
fish,220,200000003,06/07/2024
steak,223,200000002,06/07/2024
apple,112,200000003,07/07/2024
salad,394,200000003,07/07/2024
banana,322,200000003,07/07/2024
soup,249,200000003,08/07/2024
soup,388,200000003,08/07/2024
pasta,286,200000001,08/07/2024
fish,318,200000002,09/07/2024
banana,156,200000003,09/07/2024
yogurt,366,200000003,09/07/2024
yogurt,240,200000003,10/07/2024
fish,302,200000003,10/07/2024
salad,145,200000002,10/07/2024
fish,180,200000002,11/07/2024
apple,395,200000003,11/07/2024
yogurt,271,200000003,11/07/2024
chicken,394,200000002,12/07/2024
apple,342,200000003,12/07/2024
salad,344,200000003,12/07/2024
apple,307,200000002,13/07/2024
apple,160,200000001,13/07/2024
salad,103,200000001,13/07/2024
salad,217,200000002,14/07/2024
chicken,207,200000003,14/07/2024
pasta,245,200000003,14/07/2024
apple,229,200000003,15/07/2024
yogurt,156,200000002,15/07/2024
yogurt,257,200000003,15/07/2024
pasta,112,200000003,16/07/2024
rice,272,200000002,16/07/2024
steak,371,200000002,16/07/2024
banana,275,200000001,17/07/2024
yogurt,164,200000001,17/07/2024
fish,285,200000002,17/07/2024
rice,388,200000003,18/07/2024
yogurt,345,200000002,18/07/2024
steak,158,200000003,18/07/2024
chicken,311,200000001,19/07/2024
chicken,334,200000003,19/07/2024
pasta,227,200000001,19/07/2024
salad,199,200000002,20/07/2024
apple,210,200000002,20/07/2024
chicken,264,200000001,20/07/2024
chicken,200,200000002,21/07/2024
banana,345,200000002,21/07/2024
banana,322,200000003,21/07/2024
steak,260,200000001,22/07/2024
rice,367,200000003,22/07/2024
yogurt,146,200000003,22/07/2024
fish,111,200000003,23/07/2024
pasta,387,200000001,23/07/2024
rice,222,200000003,23/07/2024
pasta,221,200000002,24/07/2024
apple,375,200000003,24/07/2024
steak,120,200000001,24/07/2024
yogurt,334,200000003,25/07/2024
banana,278,200000001,25/07/2024
pasta,208,200000002,25/07/2024
pasta,296,200000003,26/07/2024
fish,265,200000001,26/07/2024
apple,145,200000001,26/07/2024
yogurt,295,200000002,27/07/2024
chicken,307,200000003,27/07/2024
banana,227,200000001,27/07/2024
pasta,180,200000001,28/07/2024
yogurt,328,200000001,28/07/2024
chicken,143,200000001,28/07/2024
rice,138,200000002,29/07/2024
fish,375,200000002,29/07/2024
banana,151,200000001,29/07/2024
banana,252,200000001,30/07/2024
apple,159,200000001,30/07/2024
soup,243,200000001,30/07/2024
pasta,119,200000002,31/07/2024
steak,362,200000002,31/07/2024
chicken,295,200000001,31/07/2024
soup,378,200000003,01/08/2024
soup,107,200000003,01/08/2024
fish,251,200000001,01/08/2024
soup,368,200000003,02/08/2024
soup,108,200000002,02/08/2024
salad,249,200000001,02/08/2024
apple,169,200000002,03/08/2024
apple,124,200000002,03/08/2024
apple,139,200000001,03/08/2024
yogurt,323,200000002,04/08/2024
steak,248,200000003,04/08/2024
banana,266,200000001,04/08/2024
salad,113,200000002,05/08/2024
banana,337,200000002,05/08/2024
rice,353,200000001,05/08/2024
steak,162,200000003,06/08/2024
rice,274,200000003,06/08/2024
fish,231,200000003,06/08/2024
salad,243,200000003,07/08/2024
apple,136,200000002,07/08/2024
soup,295,200000002,07/08/2024
fish,317,200000003,08/08/2024
rice,206,200000001,08/08/2024
yogurt,328,200000003,08/08/2024
fish,237,200000001,09/08/2024
pasta,250,200000003,09/08/2024
fish,309,200000002,09/08/2024
soup,359,200000002,10/08/2024
pasta,136,200000002,10/08/2024
banana,257,200000001,10/08/2024
chicken,284,200000003,11/08/2024
salad,278,200000001,11/08/2024
steak,218,200000002,11/08/2024
chicken,277,200000003,12/08/2024
banana,278,200000001,12/08/2024
pasta,172,200000001,12/08/2024
banana,177,200000002,13/08/2024
steak,217,200000002,13/08/2024
steak,163,200000001,13/08/2024
chicken,310,200000002,14/08/2024
soup,266,200000001,14/08/2024
pasta,311,200000002,14/08/2024
salad,292,200000003,15/08/2024
salad,126,200000002,15/08/2024
chicken,297,200000003,15/08/2024
chicken,205,200000003,16/08/2024
fish,327,200000001,16/08/2024
soup,166,200000002,16/08/2024
apple,211,200000002,17/08/2024
fish,115,200000001,17/08/2024
apple,238,200000003,17/08/2024
apple,238,200000003,18/08/2024
fish,140,200000002,18/08/2024
chicken,304,200000002,18/08/2024
yogurt,275,200000002,19/08/2024
steak,211,200000002,19/08/2024
rice,350,200000002,19/08/2024
steak,147,200000003,20/08/2024
rice,206,200000003,20/08/2024
pasta,110,200000003,20/08/2024
banana,168,200000003,21/08/2024
yogurt,250,200000001,21/08/2024
rice,352,200000001,21/08/2024
steak,291,200000003,22/08/2024
salad,360,200000003,22/08/2024
chicken,343,200000001,22/08/2024
steak,390,200000003,23/08/2024
yogurt,140,200000002,23/08/2024
fish,211,200000003,23/08/2024
salad,177,200000002,24/08/2024
banana,293,200000003,24/08/2024
chicken,367,200000003,24/08/2024
yogurt,290,200000003,25/08/2024
rice,301,200000001,25/08/2024
apple,161,200000003,25/08/2024
chicken,196,200000002,26/08/2024
steak,101,200000001,26/08/2024
chicken,223,200000001,26/08/2024
steak,383,200000003,27/08/2024
pasta,374,200000003,27/08/2024
fish,110,200000002,27/08/2024
rice,286,200000003,28/08/2024
pasta,110,200000003,28/08/2024
apple,220,200000003,28/08/2024
rice,182,200000003,29/08/2024
steak,337,200000002,29/08/2024
yogurt,318,200000002,29/08/2024
